steamid,appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,header_image,background,short_description
2143,259340,Chicken Shoot Gold,2003-11-01,1,ToonTRAXX Studios,Topware Interactive,windows;mac,0,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Action;Casual;Indie,0,139,108,326,301,100000-200000,4.99,https://steamcdn-a.akamaihd.net/steam/apps/259340/header.jpg?t=1512666396,https://steamcdn-a.akamaihd.net/steam/apps/259340/page_bg_generated_v6b.jpg?t=1512666396,"This tiresome bunch of feathered troublemakers is not giving any peace. Stop this hostile destruction from these rampaging roosters in Arcade mode, or fight against the clock in Classic mode in three difficulty levels."
23323,889720,Crypto Crisis,2019-02-20,1,Armoured Beans,Armoured Beans,windows;mac;linux,0,Single-player;Steam Achievements,Indie;Simulation;Strategy,Simulation;Strategy;Indie,7,12,6,0,0,0-20000,6.19,https://steamcdn-a.akamaihd.net/steam/apps/889720/header.jpg?t=1550713784,https://steamcdn-a.akamaihd.net/steam/apps/889720/page_bg_generated_v6b.jpg?t=1550713784,Where were you during the rise of Bitcoin? Crypto Crisis is a simulation game which drops you into the beginnings of Bitcoin. Compete for and increase your share of block rewards by building and upgrading your mining rigs while carefully managing your resources.
13222,589160,Zombie Apocalypse,2017-02-15,1,GameTop.com,GameTop.com,windows,0,Single-player,Action,Action;Zombies;Multiplayer,0,27,17,10,10,0-20000,0.0,https://steamcdn-a.akamaihd.net/steam/apps/589160/header.jpg?t=1487242335,https://steamcdn-a.akamaihd.net/steam/apps/589160/page_bg_generated_v6b.jpg?t=1487242335,The disaster has turned people into zombies. The survivors are hiding in the shelters.
6637,397460,The Jackbox Party Pack 2,2015-10-13,1,"Jackbox Games Inc.","Jackbox Games Inc.",windows;mac;linux,0,Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Casual;Indie;Strategy,Local Multiplayer;Casual;Indie,20,533,32,264,264,200000-500000,18.99,https://steamcdn-a.akamaihd.net/steam/apps/397460/header.jpg?t=1546966617,https://steamcdn-a.akamaihd.net/steam/apps/397460/page_bg_generated_v6b.jpg?t=1546966617,"The sequel to the party game phenomenon The Jackbox Party Pack, featuring FIVE fresh, rib-tickling party games! Your phones or tablets are your controllers – no big mess of controllers needed. For up to 8 players plus an Audience of up to 10,000! It’s a game-night riot in a box… without the box!"
5869,375680,Apartment 666,2016-08-03,1,I Need Play,I Need Play,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie,Action;Adventure;Indie,2,103,227,254,259,200000-500000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/375680/header.jpg?t=1495360523,https://steamcdn-a.akamaihd.net/steam/apps/375680/page_bg_generated_v6b.jpg?t=1495360523,One day you wake up and realise that nobody is home. You try to exit the apartment only to wake up again in your room.You are stuck in an endless cycle of loops with only one way out.
26768,1036870,Night Catcher,2019-03-22,1,Exsom,Exsom,windows,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Indie,Indie;Adventure;Horror,2,16,1,0,0,0-20000,2.09,https://steamcdn-a.akamaihd.net/steam/apps/1036870/header.jpg?t=1553526186,https://steamcdn-a.akamaihd.net/steam/apps/1036870/page_bg_generated_v6b.jpg?t=1553526186,"You are the cop who fell asleep in his office. Waking up, you learn of some psychopath who craves for your death and informs of this through notes. Try to get out of the police station avoiding meeting the robot guard."
22076,852920,Bad Bots Rise,2018-07-06,1,High Leap Studios,Lamina Studios,windows;mac;linux,0,Single-player,Action;Adventure;Indie;Early Access,Early Access;Action;Adventure,0,1,3,0,0,0-20000,3.99,https://steamcdn-a.akamaihd.net/steam/apps/852920/header.jpg?t=1535811050,https://steamcdn-a.akamaihd.net/steam/apps/852920/page_bg_generated_v6b.jpg?t=1535811050,"Bad Bots Rise is an action-packed platform-shooter. Dodge bullets, evade traps and destroy enemies in a 2D sidescroller environment. Explore different levels and choose the right character for the right scenario. Utilize keystones' passive abilities to enhance your playstyle."
17068,705740,Car Demolition Clicker,2018-07-05,1,Blue Sunset Games,Blue Sunset Games,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,22,27,15,0,0,0-20000,5.19,https://steamcdn-a.akamaihd.net/steam/apps/705740/header.jpg?t=1541784246,https://steamcdn-a.akamaihd.net/steam/apps/705740/page_bg_generated_v6b.jpg?t=1541784246,"Ever dreamed of smashing your own car? Or maybe a car of your neighbour? Well... now you have a chance! Grab your weapon, call out your battle drones and start clicking the car into oblivion! Earn cash, upgrade your equipment and find more vehicles to destroy!"
13573,600260,Jungle Dino VR,2017-02-27,1,eiNpictures,eiNpictures,windows,0,Single-player;Partial Controller Support,Adventure;Indie;Simulation,Adventure;Indie;Simulation,0,0,1,0,0,0-20000,6.99,https://steamcdn-a.akamaihd.net/steam/apps/600260/header.jpg?t=1488414755,https://steamcdn-a.akamaihd.net/steam/apps/600260/page_bg_generated_v6b.jpg?t=1488414755,Take a trip to a dinosaur inhabited island and explore a variety of environments where you’ll encounter many different kinds of dinosaurs.
7352,418360,Gurgamoth,2016-02-16,1,Galvanic Games,Galvanic Games,windows;mac,0,Single-player;Local Multi-Player;Shared/Split Screen;Full controller support;Steam Trading Cards,Action;Indie,Action;Indie;Local Multiplayer,0,67,11,0,0,20000-50000,3.99,https://steamcdn-a.akamaihd.net/steam/apps/418360/header.jpg?t=1548803463,https://steamcdn-a.akamaihd.net/steam/apps/418360/page_bg_generated_v6b.jpg?t=1548803463,"Gurgamoth is a flying fighting game where the level is your weapon. Each match is lightning quick and focuses on intense flying combat and getting in your opponent's head. The controls are simple, but the mechanics and interesting levels bring out the game’s depth."
