steamid,appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,header_image,background,short_description
23887,911260,Dawn of the Breakers,2018-11-22,1,"CyberStep Inc.","CyberStep Inc.",windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;In-App Purchases;Partial Controller Support,Action;Adventure;Free to Play;RPG,Free to Play;Adventure;RPG,0,22,29,0,0,0-20000,0.0,https://steamcdn-a.akamaihd.net/steam/apps/911260/header.jpg?t=1542883308,https://steamcdn-a.akamaihd.net/steam/apps/911260/page_bg_generated_v6b.jpg?t=1542883308,"Step into the shoes of a high school student in modern Japan, where mysterious creatures known as Ghouls wage war against mankind. Become a member of the superhero unit, the Breakers, and stop this menace once and for all in this 3D action brawler!"
848,46360,Theatre of War 2: Kursk 1943,2010-07-09,1,1C Entertainment,1C Entertainment,windows,0,Single-player;Multi-player;Steam Cloud;Includes level editor,Simulation;Strategy,Strategy;Simulation;World War II,0,81,42,0,0,50000-100000,3.99,https://steamcdn-a.akamaihd.net/steam/apps/46360/header.jpg?t=1553173146,https://steamcdn-a.akamaihd.net/steam/apps/46360/page_bg_generated_v6b.jpg?t=1553173146,"Theatre of War 2: Kursk 1943, the historically accurate and detailed real-time tactical war game, welcomes military history fans to the battle which gave the Red Army the strategic initiative for the rest of the war."
9414,486310,Meadow,2016-10-26,1,Might and Delight,Might and Delight,windows;mac;linux,0,Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Adventure;Indie;Massively Multiplayer,Cute;Open World;Massively Multiplayer,83,3819,470,227,277,200000-500000,3.99,https://steamcdn-a.akamaihd.net/steam/apps/486310/header.jpg?t=1543511609,https://steamcdn-a.akamaihd.net/steam/apps/486310/page_bg_generated_v6b.jpg?t=1543511609,"A forum in games clothing, this online fable experience lets old and new fans of the Shelter series come together and encounter a peculiar world."
578,32110,LUXOR: Mah Jong,2009-07-13,1,MumboJumbo,MumboJumbo,windows;mac,0,Single-player,Casual,Casual;Puzzle;Singleplayer,0,43,13,0,0,50000-100000,5.99,https://steamcdn-a.akamaihd.net/steam/apps/32110/header.jpg?t=1447352269,https://steamcdn-a.akamaihd.net/steam/apps/32110/page_bg_generated_v6b.jpg?t=1447352269,"Embark on an epic quest to recover the stolen treasures of Ancient Egypt in LUXOR: Mah Jong. The fun and challenge is unending with 200 unique layouts available in 3 awesome play modes; Adventure, Single and Traditional."
791,41900,The Bard's Tale,2009-12-11,1,inXile Entertainment,inXile Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;RPG,RPG;Adventure;Comedy,51,644,188,43,77,200000-500000,6.99,https://steamcdn-a.akamaihd.net/steam/apps/41900/header.jpg?t=1535045615,https://steamcdn-a.akamaihd.net/steam/apps/41900/page_bg_generated_v6b.jpg?t=1535045615,"You are the Bard, a selfish rogue weary of pointless sub-quests and rat-infested cellars. Now includes original classic games The Bard’s Tale 1, 2 &amp; 3!"
7765,432540,Devil Sealing Stone,2016-04-11,1,WJLEGAME,WJLEGAME,windows;mac,0,Single-player;Partial Controller Support,Action;Adventure;Indie;RPG,Action;Adventure;Indie,0,3,4,0,0,0-20000,5.59,https://steamcdn-a.akamaihd.net/steam/apps/432540/header.jpg?t=1534308575,https://steamcdn-a.akamaihd.net/steam/apps/432540/page_bg_generated_v6b.jpg?t=1534308575,"Devil Sealing Stone is an action-puzzle game with magic style. In an underground city full of bizarre and magic atmosphere, adventurers can explore the ancient and mysterious epic by virtue of all kinds of steles and praise of ancient creatures."
17990,732150,Stolen Mouth,2017-10-30,1,Nedodnb,Dagestan Technology,windows,0,Single-player,Action;Adventure;Indie,Action;Indie;Adventure,0,8,5,0,0,0-20000,2.89,https://steamcdn-a.akamaihd.net/steam/apps/732150/header.jpg?t=1516911954,https://steamcdn-a.akamaihd.net/steam/apps/732150/page_bg_generated_v6b.jpg?t=1516911954,"Stolen Mouth is a platformer where you play for a small square. His mouth was stolen and you need to return it back. Along the way there are traps, enemies and puzzles."
10776,522210,Serial Cleaner,2017-07-14,1,iFun4All S.A.,Curve Digital,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Stealth,28,336,93,134,136,100000-200000,11.99,https://steamcdn-a.akamaihd.net/steam/apps/522210/header.jpg?t=1553769753,https://steamcdn-a.akamaihd.net/steam/apps/522210/page_bg_generated_v6b.jpg?t=1553769753,"Slip on your flares, grab your shades and hop in your station wagon, it's time to work… as a mob professional cleaner. A good cleaner never gets caught, so you have to make sure you get in, clean up and get out without leaving a trace of evidence in this stylish award winning 2D action-stealth game."
10969,527720,Keep Defending,2017-06-19,1,Faster Time Games Limited,Faster Time Games Limited,windows,0,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Action;Indie,Indie;Action;VR,43,29,2,0,0,0-20000,5.59,https://steamcdn-a.akamaihd.net/steam/apps/527720/header.jpg?t=1554892485,https://steamcdn-a.akamaihd.net/steam/apps/527720/page_bg_generated_v6b.jpg?t=1554892485,"Keep Defending is a first-person VR tower defense archery game where you build up your defenses during the enemy onslaught. Target enemies before they reach your gate and earn gold to set up ever more capable defenses including crossbows, wizards, knights, cannons, and more."
5765,372830,Fitz the Fox,2015-08-06,1,Bread Vision Studios LLC.,Bread Vision Studios LLC.,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Indie,Indie;Action;Adventure,7,88,20,0,0,0-20000,2.79,https://steamcdn-a.akamaihd.net/steam/apps/372830/header.jpg?t=1465347100,https://steamcdn-a.akamaihd.net/steam/apps/372830/page_bg_generated_v6b.jpg?t=1465347100,"Designed to resemble a game for a classic portable game system with simple game play, pixelated graphics, and a 4-color color pallet. This callback to our childhood will test your skills, capture your imagination, and leave you satisfied when your quest is complete."
